date,appliance,usage_hours,power_watts,hour,room
2026-08-20,Refrigerator,0.48,200,0,Kitchen
2026-08-20,Air Conditioner,0.75,1500,0,Master Bedroom
2026-08-20,Ceiling Fan,0.95,75,0,Living & Bed
2026-08-20,Refrigerator,0.45,200,1,Kitchen
2026-08-20,Ceiling Fan,0.95,75,1,Living & Bed
2026-08-20,Refrigerator,0.41,200,2,Kitchen
2026-08-20,Refrigerator,0.43,200,3,Kitchen
2026-08-20,Refrigerator,0.47,200,4,Kitchen
2026-08-20,Refrigerator,0.41,200,5,Kitchen
2026-08-20,Refrigerator,0.42,200,6,Kitchen
2026-08-20,Water Heater,0.75,2000,6,Bathroom
2026-08-20,Refrigerator,0.48,200,7,Kitchen
2026-08-20,Water Heater,0.75,2000,7,Bathroom
2026-08-20,Refrigerator,0.46,200,8,Kitchen
2026-08-20,Refrigerator,0.42,200,9,Kitchen
2026-08-20,Washing Machine,0.6,500,9,Utility Room
2026-08-20,Refrigerator,0.41,200,10,Kitchen
2026-08-20,Washing Machine,0.6,500,10,Utility Room
2026-08-20,Laptop,0.8,65,10,Home Office
2026-08-20,Refrigerator,0.44,200,11,Kitchen
2026-08-20,Ceiling Fan,0.95,75,11,Living & Bed
2026-08-20,Laptop,0.8,65,11,Home Office
2026-08-20,Refrigerator,0.48,200,12,Kitchen
2026-08-20,Ceiling Fan,0.95,75,12,Living & Bed
2026-08-20,Laptop,0.8,65,12,Home Office
2026-08-20,Microwave,0.25,1200,12,Kitchen
2026-08-20,Refrigerator,0.42,200,13,Kitchen
2026-08-20,Ceiling Fan,0.95,75,13,Living & Bed
2026-08-20,Laptop,0.8,65,13,Home Office
2026-08-20,Refrigerator,0.44,200,14,Kitchen
2026-08-20,Ceiling Fan,0.95,75,14,Living & Bed
2026-08-20,Laptop,0.8,65,14,Home Office
2026-08-20,Refrigerator,0.44,200,15,Kitchen
2026-08-20,Ceiling Fan,0.95,75,15,Living & Bed
2026-08-20,Laptop,0.8,65,15,Home Office
2026-08-20,Refrigerator,0.43,200,16,Kitchen
2026-08-20,Ceiling Fan,0.95,75,16,Living & Bed
2026-08-20,Laptop,0.8,65,16,Home Office
2026-08-20,Refrigerator,0.41,200,17,Kitchen
2026-08-20,Ceiling Fan,0.95,75,17,Living & Bed
2026-08-20,Laptop,0.8,65,17,Home Office
2026-08-20,Refrigerator,0.49,200,18,Kitchen
2026-08-20,Ceiling Fan,0.95,75,18,Living & Bed
2026-08-20,LED Lights,1.0,40,18,All Rooms
2026-08-20,Refrigerator,0.42,200,19,Kitchen
2026-08-20,Television,0.85,120,19,Living Room
2026-08-20,Ceiling Fan,0.95,75,19,Living & Bed
2026-08-20,LED Lights,1.0,40,19,All Rooms
2026-08-20,Refrigerator,0.49,200,20,Kitchen
2026-08-20,Air Conditioner,0.73,1500,20,Master Bedroom
2026-08-20,Television,0.9,120,20,Living Room
2026-08-20,Ceiling Fan,0.95,75,20,Living & Bed
2026-08-20,LED Lights,1.0,40,20,All Rooms
2026-08-20,Microwave,0.25,1200,20,Kitchen
2026-08-20,Refrigerator,0.44,200,21,Kitchen
2026-08-20,Air Conditioner,0.77,1500,21,Master Bedroom
2026-08-20,Television,0.93,120,21,Living Room
2026-08-20,Ceiling Fan,0.95,75,21,Living & Bed
2026-08-20,LED Lights,1.0,40,21,All Rooms
2026-08-20,Refrigerator,0.45,200,22,Kitchen
2026-08-20,Air Conditioner,0.75,1500,22,Master Bedroom
2026-08-20,Television,0.95,120,22,Living Room
2026-08-20,Ceiling Fan,0.95,75,22,Living & Bed
2026-08-20,LED Lights,1.0,40,22,All Rooms
2026-08-20,Refrigerator,0.43,200,23,Kitchen
2026-08-20,Air Conditioner,0.79,1500,23,Master Bedroom
2026-08-20,Ceiling Fan,0.95,75,23,Living & Bed
2026-08-20,LED Lights,1.0,40,23,All Rooms
2026-08-21,Refrigerator,0.5,200,0,Kitchen
2026-08-21,Air Conditioner,0.72,1500,0,Master Bedroom
2026-08-21,Ceiling Fan,0.95,75,0,Living & Bed
2026-08-21,Refrigerator,0.46,200,1,Kitchen
2026-08-21,Ceiling Fan,0.95,75,1,Living & Bed
2026-08-21,Refrigerator,0.41,200,2,Kitchen
2026-08-21,Refrigerator,0.5,200,3,Kitchen
2026-08-21,Refrigerator,0.5,200,4,Kitchen
2026-08-21,Refrigerator,0.43,200,5,Kitchen
2026-08-21,Refrigerator,0.41,200,6,Kitchen
2026-08-21,Water Heater,0.75,2000,6,Bathroom
2026-08-21,Refrigerator,0.47,200,7,Kitchen
2026-08-21,Water Heater,0.75,2000,7,Bathroom
2026-08-21,Refrigerator,0.42,200,8,Kitchen
2026-08-21,Refrigerator,0.47,200,9,Kitchen
2026-08-21,Refrigerator,0.48,200,10,Kitchen
2026-08-21,Laptop,0.8,65,10,Home Office
2026-08-21,Refrigerator,0.48,200,11,Kitchen
2026-08-21,Ceiling Fan,0.95,75,11,Living & Bed
2026-08-21,Laptop,0.8,65,11,Home Office
2026-08-21,Refrigerator,0.44,200,12,Kitchen
2026-08-21,Ceiling Fan,0.95,75,12,Living & Bed
2026-08-21,Laptop,0.8,65,12,Home Office
2026-08-21,Microwave,0.25,1200,12,Kitchen
2026-08-21,Refrigerator,0.45,200,13,Kitchen
2026-08-21,Ceiling Fan,0.95,75,13,Living & Bed
2026-08-21,Laptop,0.8,65,13,Home Office
2026-08-21,Refrigerator,0.45,200,14,Kitchen
2026-08-21,Ceiling Fan,0.95,75,14,Living & Bed
2026-08-21,Laptop,0.8,65,14,Home Office
2026-08-21,Refrigerator,0.48,200,15,Kitchen
2026-08-21,Ceiling Fan,0.95,75,15,Living & Bed
2026-08-21,Laptop,0.8,65,15,Home Office
2026-08-21,Refrigerator,0.43,200,16,Kitchen
2026-08-21,Ceiling Fan,0.95,75,16,Living & Bed
2026-08-21,Laptop,0.8,65,16,Home Office
2026-08-21,Refrigerator,0.42,200,17,Kitchen
2026-08-21,Ceiling Fan,0.95,75,17,Living & Bed
2026-08-21,Laptop,0.8,65,17,Home Office
2026-08-21,Refrigerator,0.47,200,18,Kitchen
2026-08-21,Ceiling Fan,0.95,75,18,Living & Bed
2026-08-21,LED Lights,1.0,40,18,All Rooms
2026-08-21,Refrigerator,0.48,200,19,Kitchen
2026-08-21,Television,0.83,120,19,Living Room
2026-08-21,Ceiling Fan,0.95,75,19,Living & Bed
2026-08-21,LED Lights,1.0,40,19,All Rooms
2026-08-21,Refrigerator,0.49,200,20,Kitchen
2026-08-21,Air Conditioner,0.8,1500,20,Master Bedroom
2026-08-21,Television,0.98,120,20,Living Room
2026-08-21,Ceiling Fan,0.95,75,20,Living & Bed
2026-08-21,LED Lights,1.0,40,20,All Rooms
2026-08-21,Microwave,0.25,1200,20,Kitchen
2026-08-21,Refrigerator,0.45,200,21,Kitchen
2026-08-21,Air Conditioner,0.73,1500,21,Master Bedroom
2026-08-21,Television,0.88,120,21,Living Room
2026-08-21,Ceiling Fan,0.95,75,21,Living & Bed
2026-08-21,LED Lights,1.0,40,21,All Rooms
2026-08-21,Refrigerator,0.41,200,22,Kitchen
2026-08-21,Air Conditioner,0.71,1500,22,Master Bedroom
2026-08-21,Television,0.95,120,22,Living Room
2026-08-21,Ceiling Fan,0.95,75,22,Living & Bed
2026-08-21,LED Lights,1.0,40,22,All Rooms
2026-08-21,Refrigerator,0.49,200,23,Kitchen
2026-08-21,Air Conditioner,0.73,1500,23,Master Bedroom
2026-08-21,Ceiling Fan,0.95,75,23,Living & Bed
2026-08-21,LED Lights,1.0,40,23,All Rooms
2026-08-22,Refrigerator,0.42,200,0,Kitchen
2026-08-22,Air Conditioner,0.84,1500,0,Master Bedroom
2026-08-22,Ceiling Fan,0.95,75,0,Living & Bed
2026-08-22,Refrigerator,0.49,200,1,Kitchen
